Risk & Performance Analysis,,,,,,
,,,,,,
Annualized Metrics,,,,,,
Asset,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,,
Reliance Industries,10.1%,20.1%,0.18,—,,
HDFC Bank,8.2%,18.5%,0.09,—,,
TCS,2.4%,19.8%,(0.21),—,,
ICICI Bank,15.1%,17.6%,0.49,—,,
Infosys,4.9%,23.7%,(0.07),—,,
Portfolio,9.1%,13.4%,0.20,(14.7%),,
NIFTY 50,12.8%,12.0%,0.53,(15.8%),,
,,,,,,
Cumulative Performance & Drawdown,,,,,,
Date,Portfolio Index,Portfolio Running Peak,Portfolio Drawdown,NIFTY 50 Index,NIFTY Running Peak,NIFTY 50 Drawdown
02-Jan-2023,100.00,100.00,-,100.00,100.00,-
03-Jan-2023,100.25,100.25,-,100.19,100.19,-
04-Jan-2023,99.14,100.25,(1.11%),99.15,100.19,(1.04%)
05-Jan-2023,98.39,100.25,(1.86%),98.87,100.19,(1.32%)
06-Jan-2023,97.52,100.25,(2.73%),98.14,100.19,(2.05%)
09-Jan-2023,99.22,100.25,(1.03%),99.47,100.19,(0.72%)
10-Jan-2023,97.85,100.25,(2.40%),98.44,100.19,(1.75%)
11-Jan-2023,98.24,100.25,(2.01%),98.34,100.19,(1.85%)
12-Jan-2023,97.87,100.25,(2.38%),98.14,100.19,(2.05%)
13-Jan-2023,98.53,100.25,(1.71%),98.68,100.19,(1.51%)
16-Jan-2023,98.35,100.25,(1.90%),98.34,100.19,(1.85%)
17-Jan-2023,99.46,100.25,(0.80%),99.21,100.19,(0.98%)
18-Jan-2023,100.05,100.25,(0.20%),99.82,100.19,(0.37%)
19-Jan-2023,99.91,100.25,(0.34%),99.51,100.19,(0.68%)
20-Jan-2023,99.75,100.25,(0.50%),99.07,100.19,(1.12%)
23-Jan-2023,100.36,100.36,-,99.57,100.19,(0.63%)
24-Jan-2023,100.70,100.70,-,99.57,100.19,(0.63%)
25-Jan-2023,99.26,100.70,(1.43%),98.32,100.19,(1.87%)
27-Jan-2023,97.29,100.70,(3.38%),96.74,100.19,(3.45%)
30-Jan-2023,97.93,100.70,(2.75%),96.99,100.19,(3.20%)
31-Jan-2023,97.38,100.70,(3.29%),97.06,100.19,(3.13%)
01-Feb-2023,98.34,100.70,(2.34%),96.81,100.19,(3.38%)
02-Feb-2023,98.62,100.70,(2.06%),96.77,100.19,(3.41%)
03-Feb-2023,99.87,100.70,(0.82%),98.11,100.19,(2.08%)
06-Feb-2023,98.99,100.70,(1.69%),97.62,100.19,(2.57%)
07-Feb-2023,98.96,100.70,(1.73%),97.38,100.19,(2.80%)
08-Feb-2023,100.09,100.70,(0.60%),98.21,100.19,(1.98%)
09-Feb-2023,100.48,100.70,(0.21%),98.33,100.19,(1.86%)
10-Feb-2023,100.16,100.70,(0.53%),98.13,100.19,(2.06%)
13-Feb-2023,99.28,100.70,(1.40%),97.66,100.19,(2.53%)
14-Feb-2023,100.70,100.70,-,98.53,100.19,(1.66%)
15-Feb-2023,101.47,101.47,-,99.00,100.19,(1.19%)
16-Feb-2023,101.59,101.59,-,99.11,100.19,(1.08%)
17-Feb-2023,100.96,101.59,(0.63%),98.61,100.19,(1.58%)
20-Feb-2023,100.27,101.59,(1.30%),98.06,100.19,(2.13%)
21-Feb-2023,100.27,101.59,(1.30%),97.96,100.19,(2.23%)
22-Feb-2023,98.50,101.59,(3.05%),96.47,100.19,(3.72%)
23-Feb-2023,98.19,101.59,(3.35%),96.23,100.19,(3.96%)
24-Feb-2023,98.06,101.59,(3.48%),95.98,100.19,(4.21%)
27-Feb-2023,97.46,101.59,(4.07%),95.58,100.19,(4.61%)
28-Feb-2023,96.75,101.59,(4.77%),95.09,100.19,(5.09%)
01-Mar-2023,97.48,101.59,(4.05%),95.90,100.19,(4.29%)
02-Mar-2023,96.44,101.59,(5.07%),95.19,100.19,(4.99%)
03-Mar-2023,97.97,101.59,(3.56%),96.69,100.19,(3.50%)
06-Mar-2023,98.83,101.59,(2.72%),97.33,100.19,(2.86%)
08-Mar-2023,99.00,101.59,(2.55%),97.57,100.19,(2.62%)
09-Mar-2023,97.70,101.59,(3.83%),96.66,100.19,(3.53%)
10-Mar-2023,96.34,101.59,(5.17%),95.69,100.19,(4.50%)
13-Mar-2023,94.75,101.59,(6.73%),94.27,100.19,(5.91%)
14-Mar-2023,94.10,101.59,(7.38%),93.66,100.19,(6.52%)
15-Mar-2023,93.19,101.59,(8.27%),93.27,100.19,(6.91%)
16-Mar-2023,92.95,101.59,(8.50%),93.34,100.19,(6.84%)
17-Mar-2023,93.58,101.59,(7.89%),93.97,100.19,(6.21%)
20-Mar-2023,92.81,101.59,(8.65%),93.36,100.19,(6.82%)
21-Mar-2023,93.71,101.59,(7.76%),94.01,100.19,(6.17%)
22-Mar-2023,93.99,101.59,(7.49%),94.25,100.19,(5.93%)
23-Mar-2023,93.24,101.59,(8.22%),93.84,100.19,(6.34%)
24-Mar-2023,92.73,101.59,(8.73%),93.12,100.19,(7.06%)
27-Mar-2023,93.22,101.59,(8.24%),93.34,100.19,(6.84%)
28-Mar-2023,93.47,101.59,(8.00%),93.15,100.19,(7.03%)
29-Mar-2023,93.58,101.59,(7.89%),93.86,100.19,(6.32%)
31-Mar-2023,96.19,101.59,(5.32%),95.40,100.19,(4.79%)
03-Apr-2023,96.11,101.59,(5.40%),95.61,100.19,(4.58%)
05-Apr-2023,97.08,101.59,(4.44%),96.48,100.19,(3.70%)
06-Apr-2023,97.14,101.59,(4.39%),96.71,100.19,(3.47%)
10-Apr-2023,97.06,101.59,(4.47%),96.85,100.19,(3.34%)
11-Apr-2023,96.96,101.59,(4.56%),97.39,100.19,(2.80%)
12-Apr-2023,97.91,101.59,(3.62%),97.88,100.19,(2.30%)
13-Apr-2023,97.54,101.59,(3.99%),97.97,100.19,(2.22%)
17-Apr-2023,95.65,101.59,(5.85%),97.30,100.19,(2.88%)
18-Apr-2023,95.16,101.59,(6.33%),97.05,100.19,(3.14%)
19-Apr-2023,94.73,101.59,(6.75%),96.82,100.19,(3.37%)
20-Apr-2023,94.79,101.59,(6.69%),96.85,100.19,(3.34%)
21-Apr-2023,95.11,101.59,(6.38%),96.85,100.19,(3.34%)
24-Apr-2023,95.77,101.59,(5.73%),97.50,100.19,(2.68%)
25-Apr-2023,95.74,101.59,(5.76%),97.65,100.19,(2.54%)
26-Apr-2023,95.90,101.59,(5.60%),97.89,100.19,(2.30%)
27-Apr-2023,96.40,101.59,(5.12%),98.45,100.19,(1.74%)
28-Apr-2023,97.19,101.59,(4.34%),99.27,100.19,(0.92%)
02-May-2023,97.75,101.59,(3.79%),99.73,100.19,(0.47%)
03-May-2023,97.30,101.59,(4.23%),99.41,100.19,(0.78%)
04-May-2023,98.36,101.59,(3.18%),100.32,100.32,-
05-May-2023,96.82,101.59,(4.70%),99.29,100.32,(1.02%)
08-May-2023,97.76,101.59,(3.77%),100.37,100.37,-
09-May-2023,98.04,101.59,(3.50%),100.38,100.38,-
10-May-2023,98.28,101.59,(3.26%),100.65,100.65,-
11-May-2023,98.08,101.59,(3.46%),100.55,100.65,(0.10%)
12-May-2023,98.23,101.59,(3.31%),100.64,100.65,(0.00%)
15-May-2023,98.47,101.59,(3.07%),101.11,101.11,-
16-May-2023,98.08,101.59,(3.46%),100.49,101.11,(0.61%)
17-May-2023,97.19,101.59,(4.33%),99.91,101.11,(1.18%)
18-May-2023,97.28,101.59,(4.24%),99.63,101.11,(1.46%)
19-May-2023,97.92,101.59,(3.62%),100.03,101.11,(1.06%)
22-May-2023,98.64,101.59,(2.91%),100.64,101.11,(0.46%)
23-May-2023,98.70,101.59,(2.85%),100.83,101.11,(0.28%)
24-May-2023,98.05,101.59,(3.48%),100.48,101.11,(0.62%)
25-May-2023,97.95,101.59,(3.59%),100.68,101.11,(0.42%)
26-May-2023,99.24,101.59,(2.32%),101.66,101.66,-
29-May-2023,99.56,101.59,(2.00%),102.20,102.20,-
30-May-2023,99.68,101.59,(1.88%),102.40,102.40,-
31-May-2023,98.56,101.59,(2.99%),101.85,102.40,(0.53%)
01-Jun-2023,98.40,101.59,(3.14%),101.60,102.40,(0.78%)
02-Jun-2023,98.25,101.59,(3.29%),101.85,102.40,(0.54%)
05-Jun-2023,98.53,101.59,(3.01%),102.18,102.40,(0.21%)
06-Jun-2023,97.78,101.59,(3.76%),102.21,102.40,(0.19%)
07-Jun-2023,98.43,101.59,(3.11%),102.91,102.91,-
08-Jun-2023,98.13,101.59,(3.41%),102.40,102.91,(0.49%)
09-Jun-2023,97.62,101.59,(3.91%),102.01,102.91,(0.87%)
12-Jun-2023,97.99,101.59,(3.54%),102.22,102.91,(0.67%)
13-Jun-2023,98.64,101.59,(2.90%),102.85,102.91,(0.05%)
14-Jun-2023,98.86,101.59,(2.69%),103.07,103.07,-
15-Jun-2023,98.13,101.59,(3.41%),102.70,103.07,(0.36%)
16-Jun-2023,98.61,101.59,(2.93%),103.45,103.45,-
19-Jun-2023,98.46,101.59,(3.08%),103.07,103.45,(0.37%)
20-Jun-2023,98.82,101.59,(2.73%),103.40,103.45,(0.05%)
21-Jun-2023,99.45,101.59,(2.11%),103.62,103.62,-
22-Jun-2023,98.98,101.59,(2.57%),103.15,103.62,(0.45%)
23-Jun-2023,98.41,101.59,(3.13%),102.57,103.62,(1.01%)
26-Jun-2023,98.07,101.59,(3.47%),102.71,103.62,(0.88%)
27-Jun-2023,98.71,101.59,(2.84%),103.41,103.62,(0.21%)
28-Jun-2023,99.59,101.59,(1.97%),104.26,104.26,-
30-Jun-2023,101.15,101.59,(0.43%),105.45,105.45,-
03-Jul-2023,102.00,102.00,-,106.18,106.18,-
04-Jul-2023,102.26,102.26,-,106.55,106.55,-
05-Jul-2023,101.71,102.26,(0.53%),106.60,106.60,-
06-Jul-2023,102.27,102.27,-,107.14,107.14,-
07-Jul-2023,101.67,102.27,(0.58%),106.23,107.14,(0.85%)
10-Jul-2023,102.26,102.27,(0.01%),106.37,107.14,(0.73%)
11-Jul-2023,102.59,102.59,-,106.82,107.14,(0.30%)
12-Jul-2023,102.11,102.59,(0.46%),106.52,107.14,(0.58%)
13-Jul-2023,103.07,103.07,-,106.68,107.14,(0.43%)
14-Jul-2023,104.93,104.93,-,107.51,107.51,-
17-Jul-2023,105.99,105.99,-,108.32,108.32,-
18-Jul-2023,106.92,106.92,-,108.53,108.53,-
19-Jul-2023,107.04,107.04,-,108.99,108.99,-
20-Jul-2023,107.17,107.17,-,109.79,109.79,-
21-Jul-2023,104.26,107.17,(2.71%),108.50,109.79,(1.17%)
24-Jul-2023,103.92,107.17,(3.03%),108.10,109.79,(1.54%)
25-Jul-2023,104.23,107.17,(2.74%),108.15,109.79,(1.49%)
26-Jul-2023,104.69,107.17,(2.31%),108.69,109.79,(1.01%)
27-Jul-2023,104.18,107.17,(2.79%),108.04,109.79,(1.60%)
28-Jul-2023,103.68,107.17,(3.26%),107.96,109.79,(1.67%)
31-Jul-2023,104.63,107.17,(2.37%),108.55,109.79,(1.13%)
01-Aug-2023,104.68,107.17,(2.33%),108.44,109.79,(1.23%)
02-Aug-2023,103.77,107.17,(3.17%),107.30,109.79,(2.27%)
03-Aug-2023,102.97,107.17,(3.92%),106.51,109.79,(2.99%)
04-Aug-2023,104.20,107.17,(2.77%),107.25,109.79,(2.31%)
07-Aug-2023,104.83,107.17,(2.19%),107.69,109.79,(1.91%)
08-Aug-2023,104.60,107.17,(2.39%),107.55,109.79,(2.04%)
09-Aug-2023,104.80,107.17,(2.21%),107.89,109.79,(1.73%)
10-Aug-2023,104.36,107.17,(2.62%),107.39,109.79,(2.18%)
11-Aug-2023,103.86,107.17,(3.09%),106.76,109.79,(2.76%)
14-Aug-2023,104.40,107.17,(2.58%),106.80,109.79,(2.73%)
16-Aug-2023,104.59,107.17,(2.41%),106.97,109.79,(2.57%)
17-Aug-2023,103.77,107.17,(3.17%),106.42,109.79,(3.07%)
18-Aug-2023,103.18,107.17,(3.73%),106.11,109.79,(3.35%)
21-Aug-2023,103.35,107.17,(3.57%),106.57,109.79,(2.93%)
22-Aug-2023,103.04,107.17,(3.85%),106.59,109.79,(2.92%)
23-Aug-2023,103.52,107.17,(3.41%),106.85,109.79,(2.68%)
24-Aug-2023,103.11,107.17,(3.79%),106.54,109.79,(2.97%)
25-Aug-2023,102.64,107.17,(4.22%),105.87,109.79,(3.57%)
28-Aug-2023,102.57,107.17,(4.29%),106.09,109.79,(3.37%)
29-Aug-2023,102.51,107.17,(4.35%),106.29,109.79,(3.19%)
30-Aug-2023,102.44,107.17,(4.41%),106.32,109.79,(3.16%)
31-Aug-2023,102.00,107.17,(4.82%),105.80,109.79,(3.63%)
01-Sep-2023,102.50,107.17,(4.36%),106.80,109.79,(2.72%)
04-Sep-2023,103.08,107.17,(3.82%),107.32,109.79,(2.25%)
05-Sep-2023,103.29,107.17,(3.62%),107.57,109.79,(2.02%)
06-Sep-2023,103.50,107.17,(3.43%),107.77,109.79,(1.84%)
07-Sep-2023,103.95,107.17,(3.01%),108.41,109.79,(1.26%)
08-Sep-2023,104.36,107.17,(2.63%),108.92,109.79,(0.80%)
11-Sep-2023,105.21,107.17,(1.83%),109.89,109.89,-
12-Sep-2023,105.97,107.17,(1.12%),109.87,109.89,(0.02%)
13-Sep-2023,106.10,107.17,(1.00%),110.29,110.29,-
14-Sep-2023,106.12,107.17,(0.98%),110.47,110.47,-
15-Sep-2023,106.83,107.17,(0.32%),110.96,110.96,-
18-Sep-2023,105.87,107.17,(1.21%),110.64,110.96,(0.29%)
20-Sep-2023,104.15,107.17,(2.81%),109.36,110.96,(1.44%)
21-Sep-2023,103.35,107.17,(3.56%),108.49,110.96,(2.23%)
22-Sep-2023,102.75,107.17,(4.12%),108.12,110.96,(2.57%)
25-Sep-2023,102.34,107.17,(4.51%),108.12,110.96,(2.56%)
26-Sep-2023,102.26,107.17,(4.58%),108.06,110.96,(2.61%)
27-Sep-2023,102.36,107.17,(4.49%),108.35,110.96,(2.36%)
28-Sep-2023,101.34,107.17,(5.44%),107.29,110.96,(3.31%)
29-Sep-2023,101.56,107.17,(5.24%),107.92,110.96,(2.74%)
03-Oct-2023,100.68,107.17,(6.06%),107.32,110.96,(3.29%)
04-Oct-2023,101.08,107.17,(5.69%),106.81,110.96,(3.75%)
05-Oct-2023,101.85,107.17,(4.96%),107.41,110.96,(3.20%)
06-Oct-2023,102.28,107.17,(4.57%),108.00,110.96,(2.67%)
09-Oct-2023,101.72,107.17,(5.09%),107.23,110.96,(3.37%)
10-Oct-2023,102.33,107.17,(4.52%),108.20,110.96,(2.49%)
11-Oct-2023,102.90,107.17,(3.99%),108.87,110.96,(1.89%)
12-Oct-2023,102.45,107.17,(4.40%),108.77,110.96,(1.97%)
13-Oct-2023,101.98,107.17,(4.85%),108.54,110.96,(2.19%)
16-Oct-2023,101.58,107.17,(5.21%),108.43,110.96,(2.28%)
17-Oct-2023,101.93,107.17,(4.89%),108.87,110.96,(1.89%)
18-Oct-2023,100.94,107.17,(5.82%),108.10,110.96,(2.58%)
19-Oct-2023,100.33,107.17,(6.38%),107.84,110.96,(2.81%)
20-Oct-2023,100.49,107.17,(6.23%),107.39,110.96,(3.22%)
23-Oct-2023,99.10,107.17,(7.53%),105.96,110.96,(4.51%)
25-Oct-2023,98.33,107.17,(8.25%),105.08,110.96,(5.30%)
26-Oct-2023,96.90,107.17,(9.59%),103.63,110.96,(6.61%)
27-Oct-2023,97.79,107.17,(8.75%),104.67,110.96,(5.67%)
30-Oct-2023,98.88,107.17,(7.73%),105.18,110.96,(5.21%)
31-Oct-2023,98.17,107.17,(8.40%),104.85,110.96,(5.51%)
01-Nov-2023,97.84,107.17,(8.70%),104.35,110.96,(5.96%)
02-Nov-2023,98.56,107.17,(8.03%),105.14,110.96,(5.25%)
03-Nov-2023,99.05,107.17,(7.58%),105.68,110.96,(4.76%)
06-Nov-2023,99.95,107.17,(6.74%),106.67,110.96,(3.87%)
07-Nov-2023,99.66,107.17,(7.01%),106.65,110.96,(3.89%)
08-Nov-2023,99.59,107.17,(7.08%),106.85,110.96,(3.71%)
09-Nov-2023,98.87,107.17,(7.75%),106.58,110.96,(3.95%)
10-Nov-2023,98.89,107.17,(7.73%),106.75,110.96,(3.80%)
13-Nov-2023,98.81,107.17,(7.80%),106.85,110.96,(3.71%)
15-Nov-2023,100.45,107.17,(6.27%),108.12,110.96,(2.56%)
16-Nov-2023,101.40,107.17,(5.38%),108.62,110.96,(2.12%)
17-Nov-2023,101.01,107.17,(5.75%),108.43,110.96,(2.28%)
20-Nov-2023,101.03,107.17,(5.73%),108.22,110.96,(2.47%)
21-Nov-2023,101.61,107.17,(5.19%),108.72,110.96,(2.03%)
22-Nov-2023,101.88,107.17,(4.94%),108.87,110.96,(1.88%)
23-Nov-2023,101.89,107.17,(4.93%),108.82,110.96,(1.93%)
24-Nov-2023,101.74,107.17,(5.07%),108.78,110.96,(1.97%)
28-Nov-2023,101.76,107.17,(5.05%),109.30,110.96,(1.50%)
29-Nov-2023,103.00,107.17,(3.89%),110.44,110.96,(0.47%)
30-Nov-2023,102.47,107.17,(4.39%),110.64,110.96,(0.29%)
01-Dec-2023,102.90,107.17,(3.99%),111.38,111.38,-
04-Dec-2023,104.93,107.17,(2.09%),113.68,113.68,-
05-Dec-2023,105.70,107.17,(1.37%),114.60,114.60,-
06-Dec-2023,106.52,107.17,(0.61%),115.06,115.06,-
07-Dec-2023,106.43,107.17,(0.70%),114.86,115.06,(0.17%)
08-Dec-2023,107.32,107.32,-,115.23,115.23,-
11-Dec-2023,107.49,107.49,-,115.38,115.38,-
12-Dec-2023,106.85,107.49,(0.59%),114.89,115.38,(0.43%)
13-Dec-2023,106.12,107.49,(1.27%),115.00,115.38,(0.34%)
14-Dec-2023,108.08,108.08,-,116.40,116.40,-
15-Dec-2023,110.56,110.56,-,117.91,117.91,-
18-Dec-2023,110.42,110.56,(0.13%),117.70,117.91,(0.18%)
19-Dec-2023,110.37,110.56,(0.18%),117.89,117.91,(0.02%)
20-Dec-2023,109.52,110.56,(0.94%),116.23,117.91,(1.43%)
21-Dec-2023,110.40,110.56,(0.15%),116.80,117.91,(0.94%)
22-Dec-2023,110.50,110.56,(0.06%),117.32,117.91,(0.50%)
26-Dec-2023,110.48,110.56,(0.08%),117.83,117.91,(0.07%)
27-Dec-2023,111.37,111.37,-,119.00,119.00,-
28-Dec-2023,111.56,111.56,-,119.68,119.68,-
29-Dec-2023,111.00,111.56,(0.50%),119.42,119.68,(0.22%)
01-Jan-2024,111.11,111.56,(0.40%),119.48,119.68,(0.17%)
02-Jan-2024,110.73,111.56,(0.74%),119.06,119.68,(0.52%)
03-Jan-2024,109.02,111.56,(2.28%),118.24,119.68,(1.20%)
04-Jan-2024,109.60,111.56,(1.75%),119.02,119.68,(0.55%)
05-Jan-2024,110.33,111.56,(1.10%),119.31,119.68,(0.31%)
08-Jan-2024,109.15,111.56,(2.15%),118.22,119.68,(1.22%)
09-Jan-2024,108.97,111.56,(2.32%),118.39,119.68,(1.07%)
10-Jan-2024,110.05,111.56,(1.35%),118.80,119.68,(0.73%)
11-Jan-2024,110.48,111.56,(0.96%),118.96,119.68,(0.60%)
12-Jan-2024,112.97,112.97,-,120.32,120.32,-
15-Jan-2024,114.63,114.63,-,121.43,121.43,-
16-Jan-2024,113.87,114.63,(0.67%),121.07,121.43,(0.29%)
17-Jan-2024,110.96,114.63,(3.21%),118.54,121.43,(2.38%)
18-Jan-2024,110.37,114.63,(3.72%),117.94,121.43,(2.87%)
19-Jan-2024,110.84,114.63,(3.31%),118.82,121.43,(2.15%)
23-Jan-2024,109.08,114.63,(4.84%),116.71,121.43,(3.89%)
24-Jan-2024,109.71,114.63,(4.30%),117.90,121.43,(2.91%)
25-Jan-2024,109.43,114.63,(4.54%),117.34,121.43,(3.37%)
29-Jan-2024,111.66,114.63,(2.60%),119.45,121.43,(1.63%)
30-Jan-2024,110.63,114.63,(3.49%),118.27,121.43,(2.60%)
31-Jan-2024,111.73,114.63,(2.54%),119.39,121.43,(1.68%)
01-Feb-2024,111.93,114.63,(2.36%),119.23,121.43,(1.81%)
02-Feb-2024,113.16,114.63,(1.29%),120.09,121.43,(1.10%)
05-Feb-2024,112.74,114.63,(1.65%),119.64,121.43,(1.47%)
06-Feb-2024,113.90,114.63,(0.64%),120.51,121.43,(0.76%)
07-Feb-2024,113.19,114.63,(1.26%),120.51,121.43,(0.76%)
08-Feb-2024,112.54,114.63,(1.83%),119.35,121.43,(1.72%)
09-Feb-2024,112.89,114.63,(1.52%),119.70,121.43,(1.43%)
12-Feb-2024,112.25,114.63,(2.08%),118.79,121.43,(2.18%)
13-Feb-2024,113.19,114.63,(1.26%),119.49,121.43,(1.60%)
14-Feb-2024,112.88,114.63,(1.53%),120.02,121.43,(1.16%)
15-Feb-2024,113.31,114.63,(1.15%),120.41,121.43,(0.84%)
16-Feb-2024,113.74,114.63,(0.78%),121.12,121.43,(0.26%)
19-Feb-2024,114.13,114.63,(0.44%),121.57,121.57,-
20-Feb-2024,114.35,114.63,(0.24%),121.98,121.98,-
21-Feb-2024,113.52,114.63,(0.97%),121.20,121.98,(0.64%)
22-Feb-2024,114.39,114.63,(0.22%),122.09,122.09,-
23-Feb-2024,114.37,114.63,(0.23%),122.06,122.09,(0.02%)
26-Feb-2024,113.71,114.63,(0.80%),121.57,122.09,(0.43%)
27-Feb-2024,114.36,114.63,(0.24%),121.99,122.09,(0.09%)
28-Feb-2024,113.50,114.63,(0.99%),120.63,122.09,(1.20%)
29-Feb-2024,113.47,114.63,(1.02%),120.80,122.09,(1.06%)
01-Mar-2024,114.99,114.99,-,122.76,122.76,-
04-Mar-2024,115.15,115.15,-,123.12,123.12,-
05-Mar-2024,114.40,115.15,(0.65%),122.85,123.12,(0.22%)
06-Mar-2024,115.05,115.15,(0.09%),123.50,123.50,-
07-Mar-2024,114.75,115.15,(0.35%),123.61,123.61,-
11-Mar-2024,113.91,115.15,(1.08%),122.72,123.61,(0.72%)
12-Mar-2024,115.21,115.21,-,122.74,123.61,(0.70%)
13-Mar-2024,114.24,115.21,(0.84%),120.88,123.61,(2.20%)
14-Mar-2024,114.89,115.21,(0.27%),121.70,123.61,(1.54%)
15-Mar-2024,114.38,115.21,(0.72%),121.02,123.61,(2.09%)
18-Mar-2024,114.00,115.21,(1.05%),121.20,123.61,(1.95%)
19-Mar-2024,112.43,115.21,(2.41%),119.89,123.61,(3.01%)
20-Mar-2024,112.34,115.21,(2.49%),120.01,123.61,(2.91%)
21-Mar-2024,112.73,115.21,(2.15%),120.96,123.61,(2.14%)
22-Mar-2024,112.04,115.21,(2.75%),121.43,123.61,(1.76%)
26-Mar-2024,110.97,115.21,(3.68%),120.92,123.61,(2.17%)
27-Mar-2024,111.94,115.21,(2.83%),121.58,123.61,(1.64%)
28-Mar-2024,112.47,115.21,(2.38%),122.69,123.61,(0.74%)
01-Apr-2024,113.19,115.21,(1.75%),123.43,123.61,(0.14%)
02-Apr-2024,112.80,115.21,(2.09%),123.39,123.61,(0.18%)
03-Apr-2024,112.83,115.21,(2.06%),123.28,123.61,(0.26%)
04-Apr-2024,113.94,115.21,(1.10%),123.72,123.72,-
05-Apr-2024,114.14,115.21,(0.92%),123.72,123.72,(0.00%)
08-Apr-2024,114.59,115.21,(0.54%),124.56,124.56,-
09-Apr-2024,114.57,115.21,(0.55%),124.43,124.56,(0.10%)
10-Apr-2024,115.05,115.21,(0.14%),125.04,125.04,-
12-Apr-2024,114.25,115.21,(0.83%),123.75,125.04,(1.03%)
15-Apr-2024,112.81,115.21,(2.08%),122.39,125.04,(2.12%)
16-Apr-2024,111.91,115.21,(2.86%),121.71,125.04,(2.66%)
18-Apr-2024,111.43,115.21,(3.28%),120.87,125.04,(3.33%)
19-Apr-2024,112.11,115.21,(2.69%),121.70,125.04,(2.67%)
22-Apr-2024,112.73,115.21,(2.15%),122.74,125.04,(1.83%)
23-Apr-2024,112.48,115.21,(2.36%),122.92,125.04,(1.70%)
24-Apr-2024,112.09,115.21,(2.70%),123.11,125.04,(1.54%)
25-Apr-2024,112.74,115.21,(2.14%),124.03,125.04,(0.81%)
26-Apr-2024,112.21,115.21,(2.60%),123.20,125.04,(1.47%)
29-Apr-2024,113.95,115.21,(1.09%),124.43,125.04,(0.49%)
30-Apr-2024,113.21,115.21,(1.73%),124.22,125.04,(0.65%)
02-May-2024,113.45,115.21,(1.53%),124.46,125.04,(0.46%)
03-May-2024,112.53,115.21,(2.32%),123.51,125.04,(1.22%)
06-May-2024,112.93,115.21,(1.97%),123.33,125.04,(1.37%)
07-May-2024,112.57,115.21,(2.29%),122.56,125.04,(1.98%)
08-May-2024,112.17,115.21,(2.64%),122.56,125.04,(1.98%)
09-May-2024,110.96,115.21,(3.69%),120.66,125.04,(3.50%)
10-May-2024,110.90,115.21,(3.74%),121.20,125.04,(3.07%)
13-May-2024,111.59,115.21,(3.14%),121.47,125.04,(2.86%)
14-May-2024,111.69,115.21,(3.06%),122.09,125.04,(2.36%)
15-May-2024,111.06,115.21,(3.60%),122.00,125.04,(2.43%)
16-May-2024,112.43,115.21,(2.41%),123.12,125.04,(1.54%)
17-May-2024,112.21,115.21,(2.60%),123.46,125.04,(1.26%)
21-May-2024,111.78,115.21,(2.98%),123.80,125.04,(0.99%)
22-May-2024,112.43,115.21,(2.41%),124.18,125.04,(0.69%)
23-May-2024,114.48,115.21,(0.63%),126.21,126.21,-
24-May-2024,114.45,115.21,(0.65%),126.16,126.21,(0.05%)
27-May-2024,114.41,115.21,(0.69%),126.02,126.21,(0.15%)
28-May-2024,114.13,115.21,(0.93%),125.78,126.21,(0.35%)
29-May-2024,112.63,115.21,(2.24%),124.77,126.21,(1.14%)
30-May-2024,111.95,115.21,(2.83%),123.58,126.21,(2.09%)
